tract_id,title,life_expectancy,median_income,description,color
25017354200,Cambridge - Harvard Square,91.8,205000,This area has one of the highest life expectancies in 
25025080300,Nubian Square Area,68.8,41211,Historical center of Boston's Black community with lower investment.,#ff0000
